[GIN] 2026/09/11 - 13:52:32 | 200 |    2.4662324s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:32 | 200 |      1.1545ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:52:32 | 200 |      2.0824ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:32 | 200 |      1.5487ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:32 | 200 |       2.069ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:35 | 200 |    2.4017073s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:35 | 200 |    465.4483ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:35 | 200 |      1.2376ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:52:35 | 200 |      1.7425ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:35 | 200 |      2.1032ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:35 | 200 |       2.615ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:37 | 200 |    1.5576883s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:41 | 200 |    4.1336361s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:41 | 200 |      1.0311ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:52:41 | 200 |      2.2031ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:41 | 200 |      2.6794ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:41 | 200 |      2.6794ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:43 | 200 |    1.5772011s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:46 | 200 |    3.1134998s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:46 | 200 |      1.0327ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:52:46 | 200 |      2.7064ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:46 | 200 |      2.9273ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:46 | 200 |       3.454ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:48 | 200 |    2.2046642s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:48 | 200 |       522.6µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:52:48 | 200 |       1.554ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:48 | 200 |      2.0692ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:48 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 13:52:53 | 200 |    4.5574695s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 13:52:58 | 200 |    5.2902076s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:52:58 | 200 |      1.0207ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:52:58 | 200 |      2.0977ms |       127.0.0.1 | POST     "/api/show"
